student_country,date_registered,paid,num_rated_courses,avg_rated_courses,avg_course_watched,total_time_watched,engagement_quizzes,engagement_exams,engagement_lessons,avg_exam_score,no_of_questions
IN,2022-01-01,0,0.0,4.843362527906577,0.4,0.4,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,1,0.0,4.843362527906577,12.8,12.8,1.0,0.0,1.0,64.44682826482409,0.0
ES,2022-01-01,0,0.0,4.843362527906577,6.6,6.6,1.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,1,0.0,4.843362527906577,25.0,50.0,1.0,2.0,2.0,50.0,0.0
BD,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,1.3,1.3,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CN,2022-01-01,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,0.4,0.4,0.0,0.0,1.0,64.44682826482409,0.0
BR,2022-01-01,0,0.0,4.843362527906577,12.5,12.5,0.0,0.0,1.0,64.44682826482409,0.0
BY,2022-01-01,0,0.0,4.843362527906577,0.9,0.9,0.0,0.0,1.0,64.44682826482409,0.0
SG,2022-01-01,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,1.3,1.3,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-01,0,0.0,4.843362527906577,21.9,21.9,1.0,0.0,1.0,64.44682826482409,0.0
CM,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
PK,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
ID,2022-01-01,0,0.0,4.843362527906577,11.9,35.7,3.0,0.0,3.0,64.44682826482409,0.0
PK,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,21.05,42.1,1.0,0.0,2.0,64.44682826482409,0.0
JP,2022-01-01,0,0.0,4.843362527906577,0.3,0.6000000000000001,0.0,0.0,2.0,64.44682826482409,0.0
PK,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
ID,2022-01-01,0,0.0,4.843362527906577,27.023076923076925,351.3,10.0,2.0,13.0,66.5,0.0
US,2022-01-01,0,0.0,4.843362527906577,6.9,6.9,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
RU,2022-01-01,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,12.0,12.0,1.0,0.0,1.0,64.44682826482409,0.0
CA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
HT,2022-01-01,0,0.0,4.843362527906577,6.6,6.6,1.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
NG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-01,0,0.0,4.843362527906577,0.2,0.2,0.0,0.0,1.0,64.44682826482409,0.0
AZ,2022-01-01,0,0.0,4.843362527906577,0.8,0.8,1.0,0.0,1.0,64.44682826482409,0.0
MA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
PL,2022-01-01,0,0.0,4.843362527906577,12.2,12.2,1.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,10.8,21.6,1.0,0.0,2.0,64.44682826482409,0.0
DE,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
DZ,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
VN,2022-01-01,0,0.0,4.843362527906577,1.2,1.2,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-01,0,0.0,4.843362527906577,1.5666666666666669,4.7,0.0,0.0,3.0,64.44682826482409,0.0
CA,2022-01-01,0,0.0,4.843362527906577,2.2,2.2,0.0,0.0,1.0,64.44682826482409,0.0
CO,2022-01-01,0,0.0,4.843362527906577,63.8,63.8,1.0,1.0,1.0,54.71428571428572,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
PT,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
FR,2022-01-01,0,0.0,4.843362527906577,14.72,73.6,4.0,0.0,5.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
LY,2022-01-01,0,0.0,4.843362527906577,1.2,1.2,0.0,0.0,1.0,64.44682826482409,0.0
RU,2022-01-01,0,0.0,4.843362527906577,24.4,73.2,3.0,0.0,3.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,1.9,1.9,1.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,0.5,0.5,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
MD,2022-01-01,0,0.0,4.843362527906577,30.85,61.7,2.0,1.0,2.0,66.5,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-01,0,0.0,4.843362527906577,0.7,0.7,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
RU,2022-01-01,0,0.0,4.843362527906577,1.2,1.2,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
MX,2022-01-01,0,0.0,4.843362527906577,3.7,7.4,0.0,0.0,2.0,64.44682826482409,0.0
AE,2022-01-01,0,0.0,4.843362527906577,25.3,25.3,1.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,62.0,62.0,1.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,11.2,11.2,1.0,0.0,1.0,64.44682826482409,0.0
BR,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
AR,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
NG,2022-01-01,0,0.0,4.843362527906577,9.45,18.9,1.0,0.0,2.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,9.3,9.3,1.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-01,0,0.0,4.843362527906577,36.5,219.0,3.0,0.0,6.0,64.44682826482409,0.0
NG,2022-01-01,0,0.0,4.843362527906577,3.6,3.6,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-01,0,0.0,4.843362527906577,32.18571428571428,225.3,4.0,2.0,7.0,80.85714285714286,0.0
EG,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-01,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,6.6,6.6,1.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,5.166666666666667,15.5,1.0,0.0,3.0,64.44682826482409,0.0
US,2022-01-02,1,0.0,4.843362527906577,77.53999999999999,387.7,3.0,4.0,5.0,71.52941176470588,0.0
LK,2022-01-02,0,0.0,4.843362527906577,2.8,2.8,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,6.6,6.6,1.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,6.6,6.6,1.0,0.0,1.0,64.44682826482409,0.0
DE,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
PH,2022-01-02,0,0.0,4.843362527906577,65.3,65.3,1.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,1,0.0,4.843362527906577,23.0,69.0,2.0,1.0,3.0,75.0,0.0
EG,2022-01-02,0,0.0,4.843362527906577,49.5,346.5,1.0,0.0,7.0,64.44682826482409,0.0
ID,2022-01-02,0,0.0,4.843362527906577,6.7,6.7,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,5.1,5.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,2.9,5.8,0.0,0.0,2.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,12.75,25.5,0.0,0.0,2.0,64.44682826482409,0.0
SD,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,10.8,10.8,0.0,0.0,1.0,64.44682826482409,0.0
DE,2022-01-02,0,0.0,4.843362527906577,3.5,3.5,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
NG,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
VN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,13.775,55.1,1.0,1.0,4.0,83.0,0.0
PL,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
ID,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IQ,2022-01-02,0,0.0,4.843362527906577,3.4,3.4,0.0,0.0,1.0,64.44682826482409,0.0
AE,2022-01-02,1,0.0,4.843362527906577,46.650000000000006,93.3,2.0,1.0,2.0,75.0,0.0
ZA,2022-01-02,0,0.0,4.843362527906577,3.6,3.6,0.0,0.0,1.0,64.44682826482409,0.0
TJ,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CN,2022-01-02,0,0.0,4.843362527906577,3.4,3.4,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TR,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,1.5,1.5,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
NL,2022-01-02,0,0.0,4.843362527906577,2.8,2.8,0.0,0.0,1.0,64.44682826482409,0.0
AE,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,5.2,5.2,0.0,0.0,1.0,64.44682826482409,0.0
GM,2022-01-02,0,0.0,4.843362527906577,33.9,33.9,1.0,0.0,1.0,64.44682826482409,0.0
IL,2022-01-02,1,0.0,4.843362527906577,19.45,77.8,2.0,1.0,4.0,75.0,0.0
US,2022-01-02,0,0.0,4.843362527906577,20.3,20.3,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,20.9,20.9,1.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,0.75,1.5,0.0,0.0,2.0,64.44682826482409,0.0
MX,2022-01-02,1,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TR,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TH,2022-01-02,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
AE,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
MX,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
RU,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
ES,2022-01-02,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
PK,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
DE,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
MA,2022-01-02,0,0.0,4.843362527906577,5.6,5.6,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-02,0,0.0,4.843362527906577,31.7,95.1,3.0,0.0,3.0,64.44682826482409,0.0
PK,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.066666666666668,39.2,3.0,0.0,3.0,64.44682826482409,0.0
NG,2022-01-02,0,0.0,4.843362527906577,8.4,8.4,1.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,0.3,0.3,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,0.5,0.5,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,19.1,57.3,1.0,0.0,3.0,64.44682826482409,0.0
AE,2022-01-02,0,0.0,4.843362527906577,3.95,7.9,0.0,0.0,2.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,17.433333333333334,52.3,3.0,0.0,3.0,64.44682826482409,0.0
MA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TZ,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
TR,2022-01-02,0,0.0,4.843362527906577,0.5,0.5,0.0,0.0,1.0,64.44682826482409,0.0
CA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,1.1,1.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-02,0,0.0,4.843362527906577,41.1,739.8,2.0,6.0,18.0,90.42857142857144,0.0
SA,2022-01-02,0,0.0,4.843362527906577,20.6,61.8,0.0,2.0,3.0,70.75,0.0
SA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
FR,2022-01-02,0,0.0,4.843362527906577,2.4,2.4,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,24.916666666666668,149.5,5.0,0.0,6.0,64.44682826482409,0.0
DE,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,1.1,1.1,0.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,0.7,0.7,0.0,0.0,1.0,64.44682826482409,0.0
PK,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
UA,2022-01-02,0,0.0,4.843362527906577,5.8,5.8,1.0,0.0,1.0,64.44682826482409,0.0
IN,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,0,0.0,4.843362527906577,1.2,1.2,0.0,0.0,1.0,64.44682826482409,0.0
QA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,13.5,27.0,2.0,0.0,2.0,64.44682826482409,0.0
GB,2022-01-02,0,0.0,4.843362527906577,2.3,2.3,1.0,0.0,1.0,64.44682826482409,0.0
GB,2022-01-02,1,0.0,4.843362527906577,21.46666666666667,64.4,3.0,1.0,3.0,67.0,0.0
US,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
SA,2022-01-02,1,0.0,4.843362527906577,31.933333333333334,95.8,2.0,0.0,3.0,64.44682826482409,0.0
MA,2022-01-02,0,0.0,4.843362527906577,10.4,10.4,1.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
IT,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
MY,2022-01-02,0,0.0,4.843362527906577,30.7,30.7,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,3.3,3.3,0.0,0.0,1.0,64.44682826482409,0.0
NG,2022-01-02,0,0.0,4.843362527906577,8.575,34.3,2.0,0.0,4.0,64.44682826482409,0.0
IQ,2022-01-02,0,0.0,4.843362527906577,1.1,1.1,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
GH,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,1,0.0,4.843362527906577,30.93846153846154,402.2,5.0,2.0,13.0,70.75,0.0
EG,2022-01-02,0,0.0,4.843362527906577,0.1,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CA,2022-01-02,0,0.0,4.843362527906577,0.2,0.2,0.0,0.0,1.0,64.44682826482409,0.0
EG,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CO,2022-01-02,0,0.0,4.843362527906577,5.5,11.0,1.0,1.0,2.0,83.5,0.0
MA,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
AT,2022-01-02,0,0.0,4.843362527906577,2.2,2.2,0.0,0.0,1.0,64.44682826482409,0.0
PK,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
CA,2022-01-02,0,0.0,4.843362527906577,13.6,27.2,1.0,0.0,2.0,64.44682826482409,0.0
FI,2022-01-02,0,0.0,4.843362527906577,0.6,0.6,0.0,0.0,1.0,64.44682826482409,0.0
CM,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
RU,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-02,0,0.0,4.843362527906577,0.4,0.4,0.0,0.0,1.0,64.44682826482409,0.0
GT,2022-01-02,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
FR,2022-01-03,0,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
US,2022-01-03,1,0.0,4.843362527906577,13.189003784017116,0.1,0.0,0.0,1.0,64.44682826482409,0.0
